grupo_funcional,nome_cientifico,nome_popular,uso_funcional,observacoes
Pioneira,Cecropia pachystachya,Embaúba,Sombramento rápido/Fauna,Frutos atrativos a aves
Pioneira,Trema micrantha,Capixingui,Recuperação inicial,Alta produção de sementes
Pioneira,Schinus terebinthifolia,Aroeira-vermelha,Fauna/polinizadores,Resiliência alta
Pioneira,Guazuma ulmifolia,Mutamba,Fauna/sucessão,Boa adaptação solos degradados
Pioneira,Heliocarpus popayanensis,Guásima,Sombramento rápido,Rápido crescimento
Secundária inicial,Inga vera,Ingá,Fixação N / Fauna,Néctar e vagens
Secundária inicial,Senna multijuga,Senna/Acácia-nativa,Fixação N,Biomassa e ciclagem
Secundária inicial,Piptadenia stipulacea,Jurema-branca,Fixação N,Semiárido úmido transicional
Secundária inicial,Byrsonima sericea,Murici,Fauna,Frutos aves/mamíferos
Secundária tardia,Tapirira guianensis,Pau-pombo,Fauna,micro-habitat
Secundária tardia,Protium heptaphyllum,Amescla,Resina/Fauna,Atração insetos
Secundária tardia,Cedrela fissilis,Cedro,Madeira/estrutural,Exige controle de pragas
Clímax,Hymenaea courbaril,Jatobá,Fauna/semente dura,Longevidade alta
Clímax,Cariniana legalis,Jequitibá,Madeira/estrutural,Longevidade alta
Clímax,Dipteryx odorata,Cumaru,Fauna/semente,Demanda sombra parcial
Leguminosa fixadora,Mimosa caesalpiniifolia,Sabiá,Fixação N/Ciclagem,Pode ter espinhos
Leguminosa fixadora,Gliricidia sepium,Gliricídia,Adubação verde/Sombra,Estacas enraízam fácil
Frutífera fauna,Euterpe edulis,Palmito-juçara,Fauna/palmito,Evitar exploração ilegal
Frutífera fauna,Psidium guajava,Goiabeira,Fauna/alimento,Controle de pragas
Frutífera fauna,Spondias mombin,Cajá,Fauna/fruto,Atração dispersores
Atratora polinizadores,Cordia verbenacea,Erva-baleeira,Insetos/polinizadores,Uso medicinal
Atratora polinizadores,Schrankia leptocarpa,Acácia-nativa,Polinizadores/Fixação N,Flores abundantes
